pair_id,frame_id,frame_type,frame_probe,lang,lang_name,family,script,neg_strategy,affirmative,negative,neg_exponent,confidence
F07-en,F07,nominal_predicate,negation of an NP predicate,en,English,IE/Germanic,Latn,particle+do-support,This is a book.,This is not a book.,not,A
F07-es,F07,nominal_predicate,negation of an NP predicate,es,Spanish,IE/Romance,Latn,preverbal particle,Esto es un libro.,Esto no es un libro.,no,A
F07-fr,F07,nominal_predicate,negation of an NP predicate,fr,French,IE/Romance,Latn,bipartite ne...pas,Ceci est un livre.,Ceci n'est pas un livre.,ne...pas,A
F07-pt,F07,nominal_predicate,negation of an NP predicate,pt,Portuguese,IE/Romance,Latn,preverbal particle,Isto é um livro.,Isto não é um livro.,não,A
F07-de,F07,nominal_predicate,negation of an NP predicate,de,German,IE/Germanic,Latn,particle + kein,Das ist ein Buch.,Das ist kein Buch.,kein,A
F07-ru,F07,nominal_predicate,negation of an NP predicate,ru,Russian,IE/Slavic,Cyrl,particle + net,Это книга.,Это не книга.,не,A
F07-pl,F07,nominal_predicate,negation of an NP predicate,pl,Polish,IE/Slavic,Latn,particle nie,To jest książka.,To nie jest książka.,nie,B
F07-el,F07,nominal_predicate,negation of an NP predicate,el,Greek,IE/Hellenic,Grek,den / min,Αυτό είναι ένα βιβλίο.,Αυτό δεν είναι βιβλίο.,δεν,B
F07-hi,F07,nominal_predicate,negation of an NP predicate,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,यह एक किताब है।,यह किताब नहीं है।,नहीं,B
F07-fa,F07,nominal_predicate,negation of an NP predicate,fa,Persian,IE/Iranian,Arab,verbal prefix na-,این یک کتاب است.,این کتاب نیست.,نیست,B
F07-ar,F07,nominal_predicate,negation of an NP predicate,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,هذا كتاب.,ليس هذا كتابًا.,ليس (neg. copula),B
F07-he,F07,nominal_predicate,negation of an NP predicate,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,זה ספר.,זה לא ספר.,לא,B
F07-tr,F07,nominal_predicate,negation of an NP predicate,tr,Turkish,Turkic,Latn,suffix -mA-,Bu bir kitap.,Bu bir kitap değil.,değil (nominal only),B
F07-fi,F07,nominal_predicate,negation of an NP predicate,fi,Finnish,Uralic,Latn,negative auxiliary verb,Tämä on kirja.,Tämä ei ole kirja.,ei,B
F07-hu,F07,nominal_predicate,negation of an NP predicate,hu,Hungarian,Uralic,Latn,nem / ne,Ez egy könyv.,Ez nem könyv.,nem,B
F07-zh,F07,nominal_predicate,negation of an NP predicate,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),这是一本书。,这不是一本书。,不是 (never 没是),B
F07-ja,F07,nominal_predicate,negation of an NP predicate,ja,Japanese,Japonic,Jpan,suffix -nai,これは本だ。,これは本ではない。,ではない,B
F07-ko,F07,nominal_predicate,negation of an NP predicate,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,이것은 책이다.,이것은 책이 아니다.,아니다 (suppletive),B
F07-vi,F07,nominal_predicate,negation of an NP predicate,vi,Vietnamese,Austroasiatic,Latn,khong,Đây là một quyển sách.,Đây không phải là một quyển sách.,không phải,C
F07-id,F07,nominal_predicate,negation of an NP predicate,id,Indonesian,Austronesian,Latn,tidak / bukan,Ini buku.,Ini bukan buku.,bukan (never tidak),B
F07-sw,F07,nominal_predicate,negation of an NP predicate,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Hiki ni kitabu.,Hiki si kitabu.,si (neg. copula),C
F07-ta,F07,nominal_predicate,negation of an NP predicate,ta,Tamil,Dravidian,Taml,illai / alla,இது ஒரு புத்தகம்.,இது புத்தகம் அல்ல.,அல்ல (never இல்லை),C
F07-ga,F07,nominal_predicate,negation of an NP predicate,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Is leabhar é seo.,Ní leabhar é seo.,ní (copula),C
F07-ka,F07,nominal_predicate,negation of an NP predicate,ka,Georgian,Kartvelian,Geor,ar / ver / nu,ეს წიგნია.,ეს წიგნი არ არის.,არ,C
F08-en,F08,ability,negated potential,en,English,IE/Germanic,Latn,particle+do-support,I can swim.,I cannot swim.,not,A
F08-es,F08,ability,negated potential,es,Spanish,IE/Romance,Latn,preverbal particle,Sé nadar.,No sé nadar.,no,A
F08-fr,F08,ability,negated potential,fr,French,IE/Romance,Latn,bipartite ne...pas,Je sais nager.,Je ne sais pas nager.,ne...pas,A
F08-pt,F08,ability,negated potential,pt,Portuguese,IE/Romance,Latn,preverbal particle,Sei nadar.,Não sei nadar.,não,A
F08-de,F08,ability,negated potential,de,German,IE/Germanic,Latn,particle + kein,Ich kann schwimmen.,Ich kann nicht schwimmen.,nicht,A
F08-ru,F08,ability,negated potential,ru,Russian,IE/Slavic,Cyrl,particle + net,Я умею плавать.,Я не умею плавать.,не,A
F08-pl,F08,ability,negated potential,pl,Polish,IE/Slavic,Latn,particle nie,Umiem pływać.,Nie umiem pływać.,nie,B
F08-el,F08,ability,negated potential,el,Greek,IE/Hellenic,Grek,den / min,Ξέρω να κολυμπάω.,Δεν ξέρω να κολυμπάω.,δεν,B
F08-hi,F08,ability,negated potential,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,मैं तैर सकता हूँ।,मैं तैर नहीं सकता।,नहीं,B
F08-fa,F08,ability,negated potential,fa,Persian,IE/Iranian,Arab,verbal prefix na-,من می‌توانم شنا کنم.,من نمی‌توانم شنا کنم.,نمی-,B
F08-ar,F08,ability,negated potential,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,أستطيع السباحة.,لا أستطيع السباحة.,لا,B
F08-he,F08,ability,negated potential,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,אני יודע לשחות.,אני לא יודע לשחות.,לא,B
F08-tr,F08,ability,negated potential,tr,Turkish,Turkic,Latn,suffix -mA-,Yüzebilirim.,Yüzemem.,-eme- (impotential),B
F08-fi,F08,ability,negated potential,fi,Finnish,Uralic,Latn,negative auxiliary verb,Osaan uida.,En osaa uida.,en (1SG),B
F08-hu,F08,ability,negated potential,hu,Hungarian,Uralic,Latn,nem / ne,Tudok úszni.,Nem tudok úszni.,nem,B
F08-zh,F08,ability,negated potential,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),我会游泳。,我不会游泳。,不,B
F08-ja,F08,ability,negated potential,ja,Japanese,Japonic,Jpan,suffix -nai,私は泳げる。,私は泳げない。,-ない,B
F08-ko,F08,ability,negated potential,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,나는 수영할 수 있다.,나는 수영을 못 한다.,못 (inability),B
F08-vi,F08,ability,negated potential,vi,Vietnamese,Austroasiatic,Latn,khong,Tôi biết bơi.,Tôi không biết bơi.,không,C
F08-id,F08,ability,negated potential,id,Indonesian,Austronesian,Latn,tidak / bukan,Saya bisa berenang.,Saya tidak bisa berenang.,tidak,B
F08-sw,F08,ability,negated potential,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Ninaweza kuogelea.,Siwezi kuogelea.,si-,C
F08-ta,F08,ability,negated potential,ta,Tamil,Dravidian,Taml,illai / alla,எனக்கு நீச்சல் தெரியும்.,எனக்கு நீச்சல் தெரியாது.,-ஆது,C
F08-ga,F08,ability,negated potential,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá snámh agam.,Níl snámh agam.,níl,C
F08-ka,F08,ability,negated potential,ka,Georgian,Kartvelian,Geor,ar / ver / nu,მე შემიძლია ცურვა.,მე ვერ ვცურავ.,ვერ (inability),C
F09-en,F09,prohibitive,negative imperative,en,English,IE/Germanic,Latn,particle+do-support,Open the window.,Do not open the window.,not,A
F09-es,F09,prohibitive,negative imperative,es,Spanish,IE/Romance,Latn,preverbal particle,Abre la ventana.,No abras la ventana.,no + subjunctive,A
F09-fr,F09,prohibitive,negative imperative,fr,French,IE/Romance,Latn,bipartite ne...pas,Ouvre la fenêtre.,N'ouvre pas la fenêtre.,ne...pas,A
F09-pt,F09,prohibitive,negative imperative,pt,Portuguese,IE/Romance,Latn,preverbal particle,Abre a janela.,Não abras a janela.,não + subjunctive,A
F09-de,F09,prohibitive,negative imperative,de,German,IE/Germanic,Latn,particle + kein,Öffne das Fenster.,Öffne das Fenster nicht.,nicht,A
F09-ru,F09,prohibitive,negative imperative,ru,Russian,IE/Slavic,Cyrl,particle + net,Открой окно.,Не открывай окно.,не + imperfective,A
F09-pl,F09,prohibitive,negative imperative,pl,Polish,IE/Slavic,Latn,particle nie,Otwórz okno.,Nie otwieraj okna.,nie + imperfective + GEN,B
F09-el,F09,prohibitive,negative imperative,el,Greek,IE/Hellenic,Grek,den / min,Άνοιξε το παράθυρο.,Μην ανοίγεις το παράθυρο.,μην (not δεν),B
F09-hi,F09,prohibitive,negative imperative,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,खिड़की खोलो।,खिड़की मत खोलो।,मत (not नहीं),B
F09-fa,F09,prohibitive,negative imperative,fa,Persian,IE/Iranian,Arab,verbal prefix na-,پنجره را باز کن.,پنجره را باز نکن.,ن-,B
F09-ar,F09,prohibitive,negative imperative,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,افتح النافذة.,لا تفتح النافذة.,لا + jussive,B
F09-he,F09,prohibitive,negative imperative,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,פתח את החלון.,אל תפתח את החלון.,אל (not לא),B
F09-tr,F09,prohibitive,negative imperative,tr,Turkish,Turkic,Latn,suffix -mA-,Pencereyi aç.,Pencereyi açma.,-ma,B
F09-fi,F09,prohibitive,negative imperative,fi,Finnish,Uralic,Latn,negative auxiliary verb,Avaa ikkuna.,Älä avaa ikkunaa.,älä (neg. imperative verb),B
F09-hu,F09,prohibitive,negative imperative,hu,Hungarian,Uralic,Latn,nem / ne,Nyisd ki az ablakot.,Ne nyisd ki az ablakot.,ne (not nem),B
F09-zh,F09,prohibitive,negative imperative,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),打开窗户。,别打开窗户。,别 (not 不),B
F09-ja,F09,prohibitive,negative imperative,ja,Japanese,Japonic,Jpan,suffix -nai,窓を開けて。,窓を開けないで。,-ないで,B
F09-ko,F09,prohibitive,negative imperative,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,창문을 열어라.,창문을 열지 마라.,-지 마라,B
F09-vi,F09,prohibitive,negative imperative,vi,Vietnamese,Austroasiatic,Latn,khong,Hãy mở cửa sổ.,Đừng mở cửa sổ.,đừng (not không),C
F09-id,F09,prohibitive,negative imperative,id,Indonesian,Austronesian,Latn,tidak / bukan,Buka jendelanya.,Jangan buka jendelanya.,jangan (not tidak),B
F09-sw,F09,prohibitive,negative imperative,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Fungua dirisha.,Usifungue dirisha.,u-si-,C
F09-ta,F09,prohibitive,negative imperative,ta,Tamil,Dravidian,Taml,illai / alla,ஜன்னலைத் திற.,ஜன்னலைத் திறக்காதே.,-ஆதே,C
F09-ga,F09,prohibitive,negative imperative,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Oscail an fhuinneog.,Ná hoscail an fhuinneog.,ná (not ní),C
F09-ka,F09,prohibitive,negative imperative,ka,Georgian,Kartvelian,Geor,ar / ver / nu,გააღე ფანჯარა.,ნუ გააღებ ფანჯარას.,ნუ (not არ),C
F10-en,F10,negative_indefinite_subj,n-word in subject position,en,English,IE/Germanic,Latn,particle+do-support,Someone is in the room.,No one is in the room.,no one,A
F10-es,F10,negative_indefinite_subj,n-word in subject position,es,Spanish,IE/Romance,Latn,preverbal particle,Alguien está en la habitación.,No hay nadie en la habitación.,no...nadie (concord),A
F10-fr,F10,negative_indefinite_subj,n-word in subject position,fr,French,IE/Romance,Latn,bipartite ne...pas,Quelqu'un est dans la pièce.,Il n'y a personne dans la pièce.,ne...personne,A
F10-pt,F10,negative_indefinite_subj,n-word in subject position,pt,Portuguese,IE/Romance,Latn,preverbal particle,Alguém está na sala.,Não está ninguém na sala.,não...ninguém,A
F10-de,F10,negative_indefinite_subj,n-word in subject position,de,German,IE/Germanic,Latn,particle + kein,Jemand ist im Zimmer.,Niemand ist im Zimmer.,niemand (no concord),A
F10-ru,F10,negative_indefinite_subj,n-word in subject position,ru,Russian,IE/Slavic,Cyrl,particle + net,Кто-то в комнате.,В комнате никого нет.,никого + нет (concord),A
F10-pl,F10,negative_indefinite_subj,n-word in subject position,pl,Polish,IE/Slavic,Latn,particle nie,Ktoś jest w pokoju.,Nikogo nie ma w pokoju.,nikogo nie (concord),B
F10-el,F10,negative_indefinite_subj,n-word in subject position,el,Greek,IE/Hellenic,Grek,den / min,Κάποιος είναι στο δωμάτιο.,Δεν είναι κανείς στο δωμάτιο.,δεν...κανείς,B
F10-hi,F10,negative_indefinite_subj,n-word in subject position,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,कमरे में कोई है।,कमरे में कोई नहीं है।,कोई नहीं,B
F10-fa,F10,negative_indefinite_subj,n-word in subject position,fa,Persian,IE/Iranian,Arab,verbal prefix na-,کسی در اتاق است.,کسی در اتاق نیست.,کسی...نیست,B
F10-ar,F10,negative_indefinite_subj,n-word in subject position,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,هناك أحد في الغرفة.,لا أحد في الغرفة.,لا أحد,B
F10-he,F10,negative_indefinite_subj,n-word in subject position,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,מישהו נמצא בחדר.,אף אחד לא נמצא בחדר.,אף אחד לא (concord),B
F10-tr,F10,negative_indefinite_subj,n-word in subject position,tr,Turkish,Turkic,Latn,suffix -mA-,Odada biri var.,Odada kimse yok.,kimse yok,B
F10-fi,F10,negative_indefinite_subj,n-word in subject position,fi,Finnish,Uralic,Latn,negative auxiliary verb,Huoneessa on joku.,Huoneessa ei ole ketään.,ei...ketään,B
F10-hu,F10,negative_indefinite_subj,n-word in subject position,hu,Hungarian,Uralic,Latn,nem / ne,Van valaki a szobában.,Nincs senki a szobában.,nincs senki (concord),B
F10-zh,F10,negative_indefinite_subj,n-word in subject position,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),房间里有人。,房间里没有人。,没有人,B
F10-ja,F10,negative_indefinite_subj,n-word in subject position,ja,Japanese,Japonic,Jpan,suffix -nai,部屋に誰かいる。,部屋に誰もいない。,誰も...ない,B
F10-ko,F10,negative_indefinite_subj,n-word in subject position,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,방에 누군가 있다.,방에 아무도 없다.,아무도 없다,B
F10-vi,F10,negative_indefinite_subj,n-word in subject position,vi,Vietnamese,Austroasiatic,Latn,khong,Có ai đó trong phòng.,Không có ai trong phòng.,không có ai,C
F10-id,F10,negative_indefinite_subj,n-word in subject position,id,Indonesian,Austronesian,Latn,tidak / bukan,Ada seseorang di kamar.,Tidak ada siapa pun di kamar.,tidak ada siapa pun,B
F10-sw,F10,negative_indefinite_subj,n-word in subject position,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Kuna mtu chumbani.,Hakuna mtu chumbani.,hakuna,C
F10-ta,F10,negative_indefinite_subj,n-word in subject position,ta,Tamil,Dravidian,Taml,illai / alla,அறையில் யாரோ இருக்கிறார்கள்.,அறையில் யாரும் இல்லை.,யாரும் இல்லை,C
F10-ga,F10,negative_indefinite_subj,n-word in subject position,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá duine éigin sa seomra.,Níl aon duine sa seomra.,níl aon,C
F10-ka,F10,negative_indefinite_subj,n-word in subject position,ka,Georgian,Kartvelian,Geor,ar / ver / nu,ოთახში ვიღაც არის.,ოთახში არავინ არის.,არავინ,C
F11-en,F11,not_yet,aspectual negation,en,English,IE/Germanic,Latn,particle+do-support,He has already eaten.,He has not eaten yet.,not...yet,A
F11-es,F11,not_yet,aspectual negation,es,Spanish,IE/Romance,Latn,preverbal particle,Ya ha comido.,Todavía no ha comido.,todavía no,A
F11-fr,F11,not_yet,aspectual negation,fr,French,IE/Romance,Latn,bipartite ne...pas,Il a déjà mangé.,Il n'a pas encore mangé.,ne...pas encore,A
F11-pt,F11,not_yet,aspectual negation,pt,Portuguese,IE/Romance,Latn,preverbal particle,Ele já comeu.,Ele ainda não comeu.,ainda não,A
F11-de,F11,not_yet,aspectual negation,de,German,IE/Germanic,Latn,particle + kein,Er hat schon gegessen.,Er hat noch nicht gegessen.,noch nicht,A
F11-ru,F11,not_yet,aspectual negation,ru,Russian,IE/Slavic,Cyrl,particle + net,Он уже поел.,Он ещё не поел.,ещё не,A
F11-pl,F11,not_yet,aspectual negation,pl,Polish,IE/Slavic,Latn,particle nie,On już zjadł.,On jeszcze nie zjadł.,jeszcze nie,B
F11-el,F11,not_yet,aspectual negation,el,Greek,IE/Hellenic,Grek,den / min,Έχει ήδη φάει.,Δεν έχει φάει ακόμα.,δεν...ακόμα,B
F11-hi,F11,not_yet,aspectual negation,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,वह खा चुका है।,उसने अभी तक नहीं खाया।,अभी तक नहीं,B
F11-fa,F11,not_yet,aspectual negation,fa,Persian,IE/Iranian,Arab,verbal prefix na-,او قبلاً غذا خورده است.,او هنوز غذا نخورده است.,هنوز ن-,B
F11-ar,F11,not_yet,aspectual negation,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,لقد أكل بالفعل.,لم يأكل بعد.,لم...بعد,B
F11-he,F11,not_yet,aspectual negation,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,הוא כבר אכל.,הוא עדיין לא אכל.,עדיין לא,B
F11-tr,F11,not_yet,aspectual negation,tr,Turkish,Turkic,Latn,suffix -mA-,Zaten yedi.,Henüz yemedi.,henüz -me-,B
F11-fi,F11,not_yet,aspectual negation,fi,Finnish,Uralic,Latn,negative auxiliary verb,Hän on jo syönyt.,Hän ei ole vielä syönyt.,ei...vielä,B
F11-hu,F11,not_yet,aspectual negation,hu,Hungarian,Uralic,Latn,nem / ne,Már evett.,Még nem evett.,még nem,B
F11-zh,F11,not_yet,aspectual negation,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),他已经吃了。,他还没吃。,还没 (never 还不),B
F11-ja,F11,not_yet,aspectual negation,ja,Japanese,Japonic,Jpan,suffix -nai,彼はもう食べた。,彼はまだ食べていない。,まだ...ていない,B
F11-ko,F11,not_yet,aspectual negation,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,그는 이미 먹었다.,그는 아직 먹지 않았다.,아직...않다,B
F11-vi,F11,not_yet,aspectual negation,vi,Vietnamese,Austroasiatic,Latn,khong,Anh ấy đã ăn rồi.,Anh ấy chưa ăn.,chưa (LEXICALLY ≠ không),C
F11-id,F11,not_yet,aspectual negation,id,Indonesian,Austronesian,Latn,tidak / bukan,Dia sudah makan.,Dia belum makan.,belum (LEXICALLY ≠ tidak),B
F11-sw,F11,not_yet,aspectual negation,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Amekwisha kula.,Bado hajala.,ha- + -ja- (not-yet tense),C
F11-ta,F11,not_yet,aspectual negation,ta,Tamil,Dravidian,Taml,illai / alla,அவன் ஏற்கனவே சாப்பிட்டான்.,அவன் இன்னும் சாப்பிடவில்லை.,இன்னும்...இல்லை,C
F11-ga,F11,not_yet,aspectual negation,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá sé tar éis ithe cheana.,Níl sé tar éis ithe fós.,níl...fós,C
F11-ka,F11,not_yet,aspectual negation,ka,Georgian,Kartvelian,Geor,ar / ver / nu,მან უკვე ჭამა.,მას ჯერ არ უჭამია.,ჯერ არ,C
F12-en,F12,negative_indefinite_obj,n-word in object position,en,English,IE/Germanic,Latn,particle+do-support,I saw something.,I saw nothing.,nothing,A
F12-es,F12,negative_indefinite_obj,n-word in object position,es,Spanish,IE/Romance,Latn,preverbal particle,Vi algo.,No vi nada.,no...nada (concord),A
F12-fr,F12,negative_indefinite_obj,n-word in object position,fr,French,IE/Romance,Latn,bipartite ne...pas,J'ai vu quelque chose.,Je n'ai rien vu.,ne...rien,A
F12-pt,F12,negative_indefinite_obj,n-word in object position,pt,Portuguese,IE/Romance,Latn,preverbal particle,Vi alguma coisa.,Não vi nada.,não...nada,A
F12-de,F12,negative_indefinite_obj,n-word in object position,de,German,IE/Germanic,Latn,particle + kein,Ich habe etwas gesehen.,Ich habe nichts gesehen.,nichts,A
F12-ru,F12,negative_indefinite_obj,n-word in object position,ru,Russian,IE/Slavic,Cyrl,particle + net,Я что-то видел.,Я ничего не видел.,ничего не (concord + GEN),A
F12-pl,F12,negative_indefinite_obj,n-word in object position,pl,Polish,IE/Slavic,Latn,particle nie,Widziałem coś.,Nie widziałem niczego.,nie...niczego,B
F12-el,F12,negative_indefinite_obj,n-word in object position,el,Greek,IE/Hellenic,Grek,den / min,Είδα κάτι.,Δεν είδα τίποτα.,δεν...τίποτα,B
F12-hi,F12,negative_indefinite_obj,n-word in object position,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,मैंने कुछ देखा।,मैंने कुछ नहीं देखा।,कुछ नहीं,B
F12-fa,F12,negative_indefinite_obj,n-word in object position,fa,Persian,IE/Iranian,Arab,verbal prefix na-,من چیزی دیدم.,من چیزی ندیدم.,چیزی ن-,B
F12-ar,F12,negative_indefinite_obj,n-word in object position,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,رأيت شيئًا.,لم أر شيئًا.,لم...شيئًا,B
F12-he,F12,negative_indefinite_obj,n-word in object position,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,ראיתי משהו.,לא ראיתי כלום.,לא...כלום,B
F12-tr,F12,negative_indefinite_obj,n-word in object position,tr,Turkish,Turkic,Latn,suffix -mA-,Bir şey gördüm.,Hiçbir şey görmedim.,hiçbir şey -me-,B
F12-fi,F12,negative_indefinite_obj,n-word in object position,fi,Finnish,Uralic,Latn,negative auxiliary verb,Näin jotain.,En nähnyt mitään.,en...mitään,B
F12-hu,F12,negative_indefinite_obj,n-word in object position,hu,Hungarian,Uralic,Latn,nem / ne,Láttam valamit.,Nem láttam semmit.,nem...semmit (concord),B
F12-zh,F12,negative_indefinite_obj,n-word in object position,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),我看到了什么。,我什么也没看到。,什么也没,B
F12-ja,F12,negative_indefinite_obj,n-word in object position,ja,Japanese,Japonic,Jpan,suffix -nai,何かを見た。,何も見なかった。,何も...なかった,B
F12-ko,F12,negative_indefinite_obj,n-word in object position,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,나는 무언가를 보았다.,나는 아무것도 보지 못했다.,아무것도...못,B
F12-vi,F12,negative_indefinite_obj,n-word in object position,vi,Vietnamese,Austroasiatic,Latn,khong,Tôi đã thấy một cái gì đó.,Tôi không thấy gì cả.,không...gì cả,C
F12-id,F12,negative_indefinite_obj,n-word in object position,id,Indonesian,Austronesian,Latn,tidak / bukan,Saya melihat sesuatu.,Saya tidak melihat apa pun.,tidak...apa pun,B
F12-sw,F12,negative_indefinite_obj,n-word in object position,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Niliona kitu.,Sikuona kitu chochote.,si- + -ku-,C
F12-ta,F12,negative_indefinite_obj,n-word in object position,ta,Tamil,Dravidian,Taml,illai / alla,நான் எதையோ பார்த்தேன்.,நான் எதுவும் பார்க்கவில்லை.,எதுவும்...இல்லை,C
F12-ga,F12,negative_indefinite_obj,n-word in object position,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Chonaic mé rud éigin.,Ní fhaca mé aon rud.,ní (suppletive fhaca),C
F12-ka,F12,negative_indefinite_obj,n-word in object position,ka,Georgian,Kartvelian,Geor,ar / ver / nu,მე რაღაც ვნახე.,მე არაფერი ვნახე.,არაფერი,C
